who_region_code,date,cases,deaths
AFRO,2020-06-06,124656,3038
AFRO,2020-06-07,129217,3118
AFRO,2020-06-08,133328,3202
AFRO,2020-06-09,138579,3326
AFRO,2020-06-10,143468,3456
AFRO,2020-06-11,148167,3557
AFRO,2020-06-12,153486,3667
AFRO,2020-06-13,160241,3855
AFRO,2020-06-14,166732,3983
AFRO,2020-06-15,173991,4089
AFRO,2020-06-16,180210,4227
AFRO,2020-06-17,185431,4353
AFRO,2020-06-18,192170,4456
AFRO,2020-06-19,199182,4572
AFRO,2020-06-20,206568,4759
AFRO,2020-06-21,215418,4887
AFRO,2020-06-22,223215,4988
AFRO,2020-06-23,230441,5106
AFRO,2020-06-24,237848,5280
AFRO,2020-06-25,246470,5424
AFRO,2020-06-26,256954,5553
AFRO,2020-06-27,266050,5656
AFRO,2020-06-28,276988,5770
AFRO,2020-06-29,286764,5865
AFRO,2020-06-30,295648,5995
AFRO,2020-07-01,305370,6176
AFRO,2020-07-02,316630,6317
AFRO,2020-07-03,329131,6472
AFRO,2020-07-04,342071,6621
AFRO,2020-07-05,356029,6739
AFRO,2020-07-06,368870,6962
AFRO,2020-07-07,382379,7136
AFRO,2020-07-08,397118,7410
AFRO,2020-07-09,410067,7561
AFRO,2020-07-10,427459,7727
AFRO,2020-07-11,443090,7930
AFRO,2020-07-12,460970,8089
AFRO,2020-07-13,476769,8248
AFRO,2020-07-14,491703,8375
AFRO,2020-07-15,505459,8637
AFRO,2020-07-16,522292,8808
AFRO,2020-07-17,540896,9096
AFRO,2020-07-18,559090,9303
AFRO,2020-07-19,576993,9504
AFRO,2020-07-20,594736,9646
AMRO,2020-01-21,1,0
AMRO,2020-01-22,1,0
AMRO,2020-01-23,1,0
AMRO,2020-01-24,1,0
AMRO,2020-01-25,2,0
AMRO,2020-01-26,3,0
AMRO,2020-01-27,6,0
AMRO,2020-01-28,7,0
AMRO,2020-01-29,8,0
AMRO,2020-01-30,8,0
AMRO,2020-01-31,9,0
AMRO,2020-02-01,11,0
AMRO,2020-02-02,12,0
AMRO,2020-02-03,15,0
AMRO,2020-02-04,15,0
AMRO,2020-02-05,16,0
AMRO,2020-02-06,17,0
AMRO,2020-02-07,19,0
AMRO,2020-02-08,19,0
AMRO,2020-02-09,19,0
AMRO,2020-02-10,19,0
AMRO,2020-02-11,20,0
AMRO,2020-02-12,20,0
AMRO,2020-02-13,21,0
AMRO,2020-02-14,22,0
AMRO,2020-02-15,23,0
AMRO,2020-02-16,23,0
AMRO,2020-02-17,23,0
AMRO,2020-02-18,23,0
AMRO,2020-02-19,23,0
AMRO,2020-02-20,23,0
AMRO,2020-02-21,25,0
AMRO,2020-02-22,44,0
AMRO,2020-02-23,44,0
AMRO,2020-02-24,44,0
AMRO,2020-02-25,64,0
AMRO,2020-02-26,65,0
AMRO,2020-02-27,72,0
AMRO,2020-02-28,75,0
AMRO,2020-02-29,85,0
AMRO,2020-03-01,96,1
AMRO,2020-03-02,127,2
AMRO,2020-03-03,140,6
AMRO,2020-03-04,159,9
AMRO,2020-03-05,208,11
AMRO,2020-03-06,305,12
AMRO,2020-03-07,420,14
AMRO,2020-03-08,513,18
AMRO,2020-03-09,696,22
AMRO,2020-03-10,911,27
AMRO,2020-03-11,1241,31
AMRO,2020-03-12,1572,32
AMRO,2020-03-13,2051,44
AMRO,2020-03-14,2735,52
AMRO,2020-03-15,3686,63
AMRO,2020-03-16,4763,77
AMRO,2020-03-17,6062,96
AMRO,2020-03-18,8255,124
AMRO,2020-03-19,11800,173
AMRO,2020-03-20,17412,179
AMRO,2020-03-21,23789,308
AMRO,2020-03-22,32117,408
AMRO,2020-03-23,41878,557
AMRO,2020-03-24,54379,700
AMRO,2020-03-25,64553,946
AMRO,2020-03-26,81305,1227
AMRO,2020-03-27,100167,1519
AMRO,2020-03-28,121272,1997
AMRO,2020-03-29,143698,2543
AMRO,2020-03-30,164515,2932
AMRO,2020-03-31,188643,3686
AMRO,2020-04-01,217441,4698
AMRO,2020-04-02,248783,5914
AMRO,2020-04-03,281860,6959
AMRO,2020-04-04,318375,8246
AMRO,2020-04-05,356859,9812
AMRO,2020-04-06,386739,11137
AMRO,2020-04-07,420928,12678
AMRO,2020-04-08,456497,14862
AMRO,2020-04-09,497159,17082
AMRO,2020-04-10,537627,19309
AMRO,2020-04-11,581095,21715
AMRO,2020-04-12,614614,23826
AMRO,2020-04-13,647127,25621
AMRO,2020-04-14,676053,27414
AMRO,2020-04-15,710537,30308
AMRO,2020-04-16,748196,35688
AMRO,2020-04-17,786954,38492
AMRO,2020-04-18,826206,42751
AMRO,2020-04-19,866971,45218
AMRO,2020-04-20,898973,47369
AMRO,2020-04-21,934273,49605
AMRO,2020-04-22,979198,52686
AMRO,2020-04-23,1005603,54950
AMRO,2020-04-24,1042350,58917
AMRO,2020-04-25,1072529,60760
AMRO,2020-04-26,1134566,63663
AMRO,2020-04-27,1182377,65752
AMRO,2020-04-28,1215094,67869
AMRO,2020-04-29,1252590,71085
AMRO,2020-04-30,1293596,74591
AMRO,2020-05-01,1339529,77578
AMRO,2020-05-02,1390403,80684
AMRO,2020-05-03,1434125,83135
AMRO,2020-05-04,1475931,85260
AMRO,2020-05-05,1513917,87232
AMRO,2020-05-06,1553834,90566
AMRO,2020-05-07,1595324,94122
AMRO,2020-05-08,1644806,97602
AMRO,2020-05-09,1690670,100430
AMRO,2020-05-10,1736699,103260
AMRO,2020-05-11,1772611,105317
AMRO,2020-05-12,1803268,107250
AMRO,2020-05-13,1845621,110714
AMRO,2020-05-14,1889840,113827
AMRO,2020-05-15,1943444,117069
AMRO,2020-05-16,1997499,120406
AMRO,2020-05-17,2049555,123091
AMRO,2020-05-18,2088087,124862
AMRO,2020-05-19,2134444,126832
AMRO,2020-05-20,2186896,130243
AMRO,2020-05-21,2245213,133441
AMRO,2020-05-22,2305083,136725
AMRO,2020-05-23,2365415,139960
AMRO,2020-05-24,2419343,142580
AMRO,2020-05-25,2471479,144347
AMRO,2020-05-26,2518840,146391
AMRO,2020-05-27,2571962,149023
AMRO,2020-05-28,2630844,152598
AMRO,2020-05-29,2698506,155764
AMRO,2020-05-30,2769347,158866
AMRO,2020-05-31,2846378,161514
AMRO,2020-06-01,2904553,163281
AMRO,2020-06-02,2956519,165262
AMRO,2020-06-03,3019091,168358
AMRO,2020-06-04,3091193,172407
AMRO,2020-06-05,3161732,176188
AMRO,2020-06-06,3237300,179278
AMRO,2020-06-07,3307185,181707
AMRO,2020-06-08,3368233,184108
AMRO,2020-06-09,3419039,185990
AMRO,2020-06-10,3488218,189300
AMRO,2020-06-11,3564495,192833
AMRO,2020-06-12,3639382,196069
AMRO,2020-06-13,3718685,199119
AMRO,2020-06-14,3788535,201874
AMRO,2020-06-15,3848085,203692
AMRO,2020-06-16,3907655,205585
AMRO,2020-06-17,3987530,208920
AMRO,2020-06-18,4095128,212372
AMRO,2020-06-19,4170602,215737
AMRO,2020-06-20,4282295,219072
AMRO,2020-06-21,4374433,221783
AMRO,2020-06-22,4441566,224347
AMRO,2020-06-23,4512762,226445
AMRO,2020-06-24,4610811,230079
AMRO,2020-06-25,4714648,233685
AMRO,2020-06-26,4821957,238690
AMRO,2020-06-27,4936774,241786
AMRO,2020-06-28,5046585,244783
AMRO,2020-06-29,5136567,246508
AMRO,2020-06-30,5226050,248672
AMRO,2020-07-01,5327044,252485
AMRO,2020-07-02,5451461,255599
AMRO,2020-07-03,5580123,259073
AMRO,2020-07-04,5704758,262457
AMRO,2020-07-05,5813242,265065
AMRO,2020-07-06,5914166,266824
AMRO,2020-07-07,6007797,268912
AMRO,2020-07-08,6136098,272930
AMRO,2020-07-09,6266690,276520
AMRO,2020-07-10,6406407,280190
AMRO,2020-07-11,6549547,283693
AMRO,2020-07-12,6680084,286796
AMRO,2020-07-13,6788298,288759
AMRO,2020-07-14,6891430,290969
AMRO,2020-07-15,7028432,294659
